trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-153.32844885596924,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-157.6222160859764,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-95.01138954047832,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-170.1469512835048,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-82.20711038703732,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-117.48110368547235,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,8,-76.7478273390997,"{0: 8, 1: 6, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-24.762486569485958,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-34.05663630288732,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-60.54166675950771,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-107.44683925417614,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,7,-92.32201175081815,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-123.49044778242535,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,4,-37.41964556076416,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-67.68202662626834,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,7.082339847639719,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,14,23.30115309639487,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,3,4.778507011621053,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,1.3485528877831912,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-22.200986384335792,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-9.057550701665964,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-89.07286217101831,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-2.912346035076144,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-1.9541700594428397,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-15.577136062201442,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,8,-43.963230365251064,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,14,10.285556665750612,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-125.55095811144675,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,24.47841086732761,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,6.686198616902627,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
