trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9975}",25,0,-96.67209432954763,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9950000000000001}",25,0,-117.73715125597727,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.9925000000000002}",30,0,-221.02774167142238,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
4,False,"{'a': 0.8, 'e': 0.9900000000000002}",20,0,-59.63725046710968,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.9875000000000003}",20,0,-93.81479898139456,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.9850000000000003}",20,2,-78.20315575046892,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.8, 'e': 0.9825000000000004}",20,0,-69.50536810624062,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9800000000000004}",20,0,-92.46567414705295,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.9775000000000005}",25,0,-252.25080762792106,"{0: 10, 1: 1, 2: 10, 3: 0, 4: 4}",0
10,False,"{'a': 0.8, 'e': 0.9750000000000005}",30,0,-152.09792948016892,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9725000000000006}",20,0,-165.2233328086897,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
12,False,"{'a': 0.8, 'e': 0.9700000000000006}",20,3,-134.21907500580437,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 2}",1
13,False,"{'a': 0.8, 'e': 0.9675000000000007}",30,0,-131.670586982387,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.9650000000000007}",25,0,-80.4284883440306,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.9625000000000008}",35,0,-215.59172679877798,"{0: 18, 1: 6, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.8, 'e': 0.9600000000000009}",20,0,-122.59266145767464,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.8, 'e': 0.9575000000000009}",20,0,-68.79484803547379,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.955000000000001}",20,0,-158.77979857596176,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.952500000000001}",20,0,-50.090763140234706,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.9500000000000011}",30,0,-54.07919539404877,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-149.535809894004,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,5,-65.50383171040887,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-184.89330605255105,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-67.76445053875943,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-85.21661837089705,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,6,-129.3732806250037,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,0,-94.76807054127222,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-85.19914958635398,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-178.1092399752539,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-149.1455800634044,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
